Date, Time, Luminance, SolarRadiation, ClearSkyRadiation 
2015-12-02,14-03-02,209775.400309,496.0,757.9924880398847
2015-12-02,14-04-01,218090.76693,519.0,755.2202598711655
2015-12-02,14-05-01,223170.720971,531.0,752.3835893761096
2015-12-02,14-06-01,229443.377892,575.0,749.5294178054185
2015-12-02,14-07-02,227912.98816,538.0,746.6098420472714
2015-12-02,14-08-01,294764.101791,538.0,743.7689823254633
2015-12-02,14-09-01,289442.059542,691.0,740.8629295218412
2015-12-02,14-10-01,287636.210836,657.0,737.9397939578864
2015-12-02,14-11-02,210873.661394,459.0,734.950538168466
2015-12-02,14-12-01,181122.126251,448.0,732.0427049035657
2015-12-02,14-13-01,160470.898464,424.0,729.0689692966055
2015-12-02,14-14-00,127870.827364,406.0,726.128561956627
2015-12-02,14-15-02,96756.2157262,397.0,723.0214142754323
2015-12-02,14-16-01,85972.9397191,392.0,720.0483281681287
2015-12-02,14-17-01,65494.5128917,385.0,717.0086787384583
2015-12-02,14-18-01,58850.4842389,378.0,713.9528353247017
2015-12-02,14-19-02,56840.7395472,376.0,710.8295778157468
2015-12-02,14-20-01,53813.1337472,373.0,707.7930313206145
2015-12-02,14-22-01,56989.0913,369.0,701.569854212429
2015-12-02,14-24-01,59872.9662222,359.0,695.2842652937742
2015-12-02,14-26-01,58615.5663417,343.0,688.9372364496991
2015-12-02,14-28-02,48706.2795528,330.0,682.4761119384682
2015-12-02,14-30-01,48376.2976417,320.0,676.0628365872822
2015-12-02,14-32-01,47549.8984944,318.0,669.5374993335387
2015-12-02,14-34-01,40557.37814,318.0,662.9547852479045
2015-12-02,14-36-01,47080.8720389,320.0,656.315751559231
2015-12-02,14-38-01,48166.1705333,322.0,649.6214719943928
2015-12-02,14-40-01,46673.2377972,320.0,642.8730366859968
2015-12-02,14-42-01,52462.7012722,318.0,636.0715521464838
2015-12-02,14-44-02,53381.6909222,316.0,629.1608125112975
2015-12-02,14-46-01,56967.2372333,319.0,622.3139408273571
2015-12-02,14-48-01,63392.696575,323.0,615.3601109680267
2015-12-02,14-50-01,74068.3001473,327.0,608.3578210828878
2015-12-02,14-52-02,79720.1064139,331.0,601.2493178520231
2015-12-02,14-54-01,73081.0759111,329.0,594.2126268851141
2015-12-02,14-56-01,68362.5214111,327.0,587.0721495823539
2015-12-02,14-58-01,58171.4326806,326.0,579.8880615170852
2015-12-02,15-00-01,50168.4423861,325.0,572.6616156444985
2015-12-02,15-02-01,48445.2229417,323.0,565.3940811633341
2015-12-02,15-04-02,45770.5550222,323.0,558.0256834387723
2015-12-02,15-06-01,39544.4129356,323.0,550.7409049548016
2015-12-02,15-08-01,47322.2534244,323.0,543.3578809551996
2015-12-02,15-10-02,78150.7711,323.0,535.8770409829599
2015-12-02,15-12-01,81644.54402,325.0,528.4856450941772
2015-12-02,15-14-01,103215.294892,315.0,520.9991500681214
